Weather Conditions,Province,Road Type,Vehicles type,Time Period,Suspected Cause,Accident Characteristics,Hour,Severity
0,41,7,3,1,69,147,0,2
0,53,1,3,1,84,142,0,1
0,59,4,8,1,16,36,0,1
0,74,1,3,1,16,29,0,3
0,5,1,15,1,16,3,0,3
0,69,1,3,1,15,144,0,2
0,49,1,10,1,87,7,0,3
0,22,1,10,1,16,35,0,1
0,32,1,3,1,16,22,0,1
0,47,1,3,1,15,141,0,1
0,55,5,2,1,84,152,0,1
0,34,1,10,1,16,7,0,3
0,33,7,10,1,42,7,0,1
0,12,1,3,1,89,139,0,2
0,17,1,8,1,84,7,0,2
0,2,1,14,1,42,7,0,3
0,47,6,8,1,87,7,0,1
4,73,1,3,1,84,144,1,1
0,5,5,10,1,16,35,1,1
0,31,1,8,1,16,35,1,1
0,64,5,10,1,16,36,1,1
0,20,1,10,1,16,35,1,0
0,60,7,8,1,16,7,1,1
0,64,7,3,1,15,11,1,1
0,2,1,8,1,16,7,1,1
0,58,1,15,1,16,7,1,3
0,3,4,3,1,17,35,2,3
0,23,1,3,1,16,35,2,2
0,15,1,3,1,69,35,2,1
0,1,5,10,1,16,36,2,1
0,62,1,3,1,84,139,2,1
4,28,1,3,1,84,11,2,3
0,73,1,8,1,69,35,2,1
0,23,5,10,1,44,36,2,0
0,2,4,10,1,16,7,2,0
0,49,1,8,1,69,35,2,1
0,59,5,3,1,17,7,2,3
1,73,1,3,1,15,139,2,1
0,72,1,3,1,16,35,2,1
0,70,1,8,1,16,35,3,3
0,21,1,10,1,16,29,3,1
0,22,1,10,1,23,35,3,0
0,1,1,3,1,21,21,3,1
0,54,1,3,1,21,11,3,2
0,35,1,3,1,87,7,3,1
0,33,1,10,1,16,7,3,1
0,73,4,3,1,69,35,3,3
0,38,4,8,1,69,35,3,0
0,68,1,10,1,16,35,3,0
0,9,1,10,1,16,35,3,1
0,1,1,8,1,16,35,4,1
0,35,1,3,1,69,35,4,3
0,1,1,3,1,69,139,4,1
0,28,1,3,1,16,35,4,1
0,57,4,3,1,69,35,5,1
0,10,5,3,1,16,152,5,1
0,43,1,10,1,16,35,5,1
0,48,1,10,1,38,35,5,0
2,41,1,3,1,84,141,5,2
6,30,1,3,1,16,35,5,1
0,38,1,10,1,16,35,5,1
0,6,1,8,1,16,35,5,0
0,74,1,8,1,69,35,5,1
2,66,1,10,1,16,35,5,1
0,22,1,3,3,15,8,6,2
0,33,1,8,3,16,35,6,0
0,15,1,8,3,16,22,6,0
0,55,4,8,3,23,36,6,1
0,13,1,8,3,16,35,6,1
0,58,5,10,3,16,36,6,0
0,32,1,3,3,44,152,6,1
0,71,1,8,3,16,7,7,3
0,54,1,8,3,16,35,7,0
0,2,1,10,3,16,7,7,0
6,12,1,8,3,16,35,8,1
0,57,1,3,3,16,35,8,1
0,33,1,8,3,77,7,8,1
0,76,1,3,3,16,35,8,2
0,64,1,10,3,21,142,9,1
0,43,4,10,3,69,35,9,1
0,50,1,8,3,69,35,9,0
0,47,5,8,3,16,36,9,1
0,67,1,8,3,16,35,9,0
0,16,7,3,3,42,46,9,2
0,8,1,10,3,16,7,9,1
0,50,1,3,3,69,139,9,1
0,39,5,3,2,16,152,10,2
0,63,1,8,2,16,35,10,0
0,40,7,8,2,16,29,10,1
0,64,4,10,2,49,3,10,1
0,34,1,3,2,16,7,10,1
0,15,5,3,2,16,36,10,1
0,44,5,3,2,15,8,10,2
0,66,1,8,2,17,7,10,1
0,49,1,8,2,22,3,10,3
0,22,3,10,2,84,36,10,1
0,62,1,3,2,15,139,11,1
0,17,1,3,2,16,7,11,2
0,39,4,10,2,17,7,11,1
0,58,7,12,2,42,29,11,1
0,61,1,3,2,84,22,11,1
0,53,1,10,2,42,7,11,1
0,45,4,8,2,16,28,11,0
0,77,5,3,2,16,29,11,3
0,67,1,8,2,16,35,11,1
0,31,1,3,2,15,144,11,1
0,13,1,3,2,16,35,11,1
0,46,1,10,2,16,29,11,3
0,74,1,8,2,16,7,11,1
0,31,4,3,2,42,7,11,1
0,15,1,10,2,16,7,11,1
0,13,1,3,2,100,7,11,1
0,31,1,3,2,16,7,11,1
0,30,4,3,2,16,28,11,1
0,60,5,8,2,16,36,11,1
0,46,1,10,5,16,29,12,3
0,67,5,8,5,16,29,12,1
0,32,1,3,5,16,35,12,1
0,15,1,3,5,16,7,12,2
0,6,1,3,5,16,7,12,1
0,41,1,11,5,100,22,12,1
0,3,4,8,5,16,3,12,1
0,71,1,8,5,100,7,12,1
0,73,1,3,5,15,139,12,1
0,48,5,3,5,15,11,12,3
0,68,7,3,5,16,35,12,3
0,73,4,0,5,16,7,12,0
0,46,5,8,5,16,36,12,0
0,17,1,6,0,16,29,13,2
0,1,1,10,0,16,7,13,0
0,72,1,8,0,69,35,13,2
0,23,1,10,0,16,7,13,1
0,9,1,10,0,16,7,13,0
0,75,1,3,0,21,139,13,1
0,74,1,8,0,16,35,13,1
0,29,1,8,0,16,7,13,0
0,19,1,4,0,16,22,13,1
0,53,1,3,0,15,143,13,1
0,64,1,3,0,16,35,14,1
0,25,5,10,0,84,36,14,1
0,15,1,8,0,22,3,14,3
0,72,1,10,0,42,7,14,1
0,23,1,3,0,15,11,14,1
0,77,1,3,0,84,11,14,3
0,43,1,10,0,42,7,14,0
0,23,4,3,0,42,7,14,2
0,57,1,3,0,16,7,14,1
0,9,1,8,0,69,35,14,0
0,52,1,10,0,16,35,15,1
0,19,5,10,0,16,7,15,0
